CRACK_INDX,FAULT_INDX,IRI_INDX,STRUCT_NEED80,AADT,CONYR,RESYR
96,70,75,0,2560,1931,2009
65,0,62,0,2690,1931,2008
60,0,52,0,3380,1972,2002
90,0,75,0,3852,1972,2005
83,0,84,0,4083,1939,2014
70,0,81,0,3755,1931,2014
70,0,62,0,3930,1931,2006
53,0,1,0,5322,1951,2006
88,0,75,0,4377,1972,2005
55,0,75,0,2205,1955,1997
41,0,80,0,2600,1955,1997
56,0,50,0,2560,1955,1997
100,0,64,7.13,2777,1937,2021
99,0,66,0,2785,1937,2021
100,0,97,0,2282,1937,2021
99,0,95,0,3173,1938,2021
53,0,60,0,4600,1946,1994
73,0,46,0,5300,1946,1993
36,43,45,0,6800,1991,1991
68,0,73,0,8300,1994,2014
100,100,69,0,1692,2023,2023
64,0,79,0,4591,1994,2014
82,0,75,0,1870,1954,2009
84,0,83,0,1726,1952,2009
56,0,4,0,1802,1969,1969
82,0,84,0,1130,1970,2016
86,0,87,0,1450,1928,2016
83,0,80,2.39,1360,1971,2016
81,0,71,0,2453,1976,2010
91,0,75,0,1977,1977,2012
92,0,71,0,1490,1977,2012
86,0,72,0,1650,1977,2010
39,0,37,0,2770,1974,2006
25,0,53,0,2377,1976,2006
53,0,54,0,2180,1976,2006
63,0,68,0,1900,1947,1974
56,0,61,0,1990,1947,1981
96,0,90,0,2095,1941,2021
69,0,60,0,1615,1938,2002
84,0,60,0,2358,1938,2000
72,0,64,0,2200,1941,2000
43,0,69,0,2260,1941,1998
51,0,56,0,2748,1939,1998
72,53,34,0,3912,1975,1975
62,0,53,0,1940,1935,1997
65,0,69,0,1898,1933,1997
75,0,30,0,2453,1979,1998
76,0,28,0,2440,1979,2015
79,0,31,0,2145,1979,2015
90,0,88,0,1630,1938,2015
87,0,85,0,1660,1936,2015
76,0,31,0,2893,1936,2006
59,0,77,0,3723,1974,2006
64,0,39,0,4870,1955,2006
60,0,62,0,5913,1972,2006
79,0,90,0,3944,1973,2014
92,0,91,0,3020,1975,2014
93,0,95,0,3480,1975,2015
98,0,99,0,3960,1975,2015
100,78,75,0,3960,1975,2017
68,58,67,0,5696,2017,2017
45,0,46,0,9700,1968,1999
55,0,69,0,8350,1970,1999
71,0,63,0,3925,1970,2001
65,0,65,0,3043,1968,2002
93,0,89,0,5696,1969,2019
94,0,70,0,5040,1987,2019
70,50,22,0,3272,1980,1980
100,0,100,0,2220,1980,2020
100,0,100,0,2037,1931,2020
100,0,100,0,1770,1980,2020
99,0,100,0,1650,1931,2020
100,0,100,0,1777,1980,2020
94,0,99,0,2527,1931,2020
37,100,57,0,2840,1980,1980
36,0,27,0,2785,1932,1980
62,54,38,0,3854,1995,1995
77,78,54,0,3410,1995,1995
57,0,73,0,3013,1940,2012
75,0,58,0,2405,1955,2006
77,0,66,0,2293,1955,2006
71,0,77,0,5253,1947,2012
92,0,85,0,8600,1947,2020
74,0,60,0,6335,1983,2020
28,0,73,0,3490,1942,2001
50,0,62,0,3190,1965,2001
89,0,83,0,945,1971,2016
81,0,68,0,600,1936,2001
96,0,94,0,717,1933,2017
42,0,24,0,935,1941,2000
40,0,23,0,1075,1946,2000
54,0,52,0,1003,1946,2000
57,0,54,0,860,1941,2000
50,0,48,0,927,1938,2000
81,0,15,0,700,1976,1976
100,100,69,0,1506,2023,2023
76,0,68,0,4025,1964,2012
100,0,77,0,5725,1954,2022
100,0,77,0,8405,1954,2022
,0,,0,10960,1964,1975
90,53,39,0,10575,2014,2014
97,73,71,0,7337,1959,1959
100,0,85,0,5290,1957,2020
34,0,61,0,1940,1957,2004
35,0,64,0,1593,1957,2004
77,0,57,0,1590,1957,2004
88,0,69,0,2197,1967,2021
85,0,60,0,1268,1955,2021
82,0,56,1.65,2073,1955,2021
45,0,20,0,4266,1954,1954
100,0,77,0,8115,1954,2022
,0,,0,10575,1964,1975
80,70,56,1.87,11900,1964,1975
89,0,88,0,5633,1930,2016
88,0,79,0,4000,1974,2016
99,79,86,0,3650,2020,2020
86,0,76,0,3383,1974,2011
82,65,79,0,5375,1976,1976
64,0,70,0,4770,1976,2008
83,0,67,0,6586,1970,2008
71,0,51,0,6336,1971,2008
90,0,77,0,7000,1928,2020
89,0,48,0,8500,1931,2020
85,0,72,0,7780,1931,2020
87,0,71,0,5360,1964,2020
42,0,74,0,3140,1964,2008
49,42,33,0,3140,1964,2017
61,33,20,0,3140,1931,2017
48,28,21,0,2863,1931,2017
33,12,15,0,2310,1931,2017
29,21,2,0,2310,1931,2017
62,38,29,0,2310,1931,2017
91,73,54,0,2660,2013,2013
100,0,77,0,2695,1978,2022
86,0,68,0,2730,1978,2010
89,0,79,0,2730,1978,2017
100,0,83,0,2730,1978,2022
100,0,83,0,3080,1978,2022
42,0,21,0,3659,1983,1983
64,0,69,0,4137,1930,1999
77,0,64,0,2230,1930,1999
61,0,70,0,7873,1966,2011
89,0,80,0,6510,1974,2016
90,0,79,0,4083,1974,2016
87,0,73,0,3650,1974,2011
50,0,69,0,2900,1929,2010
79,0,74,0,2570,1964,2010
82,0,85,0,2150,1964,2015
90,0,90,0,2150,1932,2015
91,0,90,0,1873,1952,2015
89,0,91,0,1783,1948,2015
88,0,86,0,2283,1947,2015
71,0,46,0,1977,1963,2015
80,0,85,0,1537,1947,2012
75,0,87,0,1620,1937,2012
65,0,84,0,2178,1937,2012
77,0,79,0,2527,1937,2012
55,0,1,0,4427,1992,2012
95,0,84,0,7833,1955,2019
100,0,77,0,2765,1968,2022
51,0,26,0,620,1946,2005
61,0,30,0,510,1937,2005
69,0,47,0,378,1958,1968
37,25,15,0,673,1959,1959
22,13,25,0,1263,1959,1959
46,58,26,0,2345,1958,1958
84,0,37,0,1847,1958,2001
80,0,50,0,1370,1938,2001
84,0,56,0,680,1939,2020
75,0,44,0,660,1940,1997
75,0,82,0,828,1939,2002
67,0,26,0,1385,1940,1975
82,0,72,0,1354,1940,2002
29,0,75,0,3190,1942,2001
40,0,66,0,3540,1965,2001
25,0,55,0,3777,1955,2001
84,0,58,0,3727,1955,2006
90,69,60,0,4623,1956,1956
68,14,9,0,4366,1971,1971
50,0,31,0,4320,1972,2005
59,0,19,0,3350,1965,2005
14,0,14,0,2120,1965,1965
87,1,61,0,1880,1989,1989
95,0,89,0,1390,1950,2015
76,0,75,0,1390,1950,2012
86,0,84,0,1390,1950,2012
86,0,81,0,1930,1950,2012
85,0,83,0,2085,1950,2012
66,0,77,0,2444,1949,2012
79,0,77,0,2720,1950,2012
96,0,82,0,3698,1941,2015
90,0,78,0,10167,1941,2019
87,0,86,0,13600,1955,2019
94,0,89,0,7400,1955,2019
90,0,75,0,8350,1955,2019
84,0,58,0,14200,1955,2019
42,28,0,0,12300,1985,2019
49,0,0,7.63,12800,1949,2003
37,0,0,0,8860,1957,1957
51,45,49,0,6048,1968,1968
100,0,82,0,4445,1995,2022
100,0,83,0,4147,1994,2022
99,80,88,0,4070,1931,2020
99,80,92,0,3198,1932,2020
94,0,90,0,2324,1931,2014
75,0,64,0,3945,1931,2007
72,0,27,2,4982,1931,2007
70,50,40,0,3300,1990,1990
67,0,81,0,3715,1931,2007
90,0,69,0,4280,1931,2014
23,70,78,0,2340,1954,2013
1,75,80,0,2340,1954,2013
3,75,79,0,2340,1954,2013
26,70,71,0,2340,1954,2013
79,0,60,0,3264,1929,1995
74,0,82,0,2147,1941,2011
75,0,86,0,1220,1948,2011
84,0,84,0,1650,1953,2012
86,0,78,0,1618,1968,2012
73,0,79,0,1530,1936,2012
45,0,85,0,3640,1921,2008
57,0,87,0,3447,1921,2010
61,0,65,0,2628,1931,1996
49,0,58,0,3898,1931,1996
88,0,73,0,4557,1931,2004
58,0,56,0,6225,1969,2010
62,0,56,0,12767,1951,2010
78,0,81,0,4807,1931,2017
88,0,89,0,4167,1966,2017
79,0,58,0,2093,1985,2009
73,0,80,0,2490,1929,2009
69,0,84,0,2490,1985,2009
64,0,80,0,2317,1985,2009
40,0,22,5.86,1710,1927,2005
65,0,70,0,1450,1945,2009
80,0,81,0,1210,1946,2009
71,0,73,0,1210,1968,2009
60,0,78,0,1210,1946,2009
55,0,51,0,1085,1963,2003
60,0,39,0,960,1963,1993
88,0,71,0,998,1961,2009
92,0,78,0,955,1990,2009
